Modern Slavery Registry ID,Companies House Number
10356,03626868
7340,OC328794
7332,02366777
7341,08696699
10851,01450372
27163,01287461
8538,OC352154
8995,02627406
24679,01959090
9785,00790763
17995,01416097
10858,00751383
7342,00148476
9323,00091335
10861,01126135
22480,02226335
25184,04447763
21364,10484918
10153,07573080
18104,SC014833
22680,02760617
25998,06307742
22342,07530373
28083,IP01099R
23202,03034606
8548,03959649
8726,03213728
7348,06058559
8549,03967525
9746,01212237
27976,07086058
21080,03941136
10710,01718196
26516,03026268
10828,01818170
22946,01762617
23008,01873816
8550,03909548
22081,06705617
10535,07254605
22127,00424854
21190,04384396
17185,00540144
10582,04063744
9087,06930266
10910,03750288
28047,04255974
10965,09535373
18597,08610330
21280,05309847
18888,SC096623
21992,SC359537
7355,01193648
7356,02667012
7357,SC036374
18808,10788801
10660,09692304
25034,01148654
17535,06124750
7359,02382161
25036,05458603
22316,04631608
21350,OC382552
25162,02909193
22952,09826582
21692,06981580
27153,00800907
8552,02562808
10808,05268420
23767,02242511
17187,06732886
21618,01729726
18509,02263092
25556,00021895
22119,00303062
7362,02366949
10320,02226729
7363,00647788
10645,04784367
19053,02100913
26781,03244454
9395,00448274
10730,03299608
18708,09915743
26622,10814201
27670,01517971
8936,00284385
8553,01106729
7365,04126357
18254,06792345
9740,00463083
7366,00147207
7369,00806888
9017,03599896
9343,04425698
10567,SC390117
7370,01410740
26661,03385107
22247,06553923
10680,02320731
23689,05345658
9308,03743194
22274,04916145
10018,SC342923
18731,09286231
10923,NI030990
7373,01377342
25154,03411533
7374,04253504
22759,04002600
7375,03919935
22640,01692513
17771,00942157
18719,00856706
10592,SC293480
17188,07931804
22413,07623161
28333,06737449
10441,07098218
7377,08155362
10260,03251364
22634,01420143
17189,00426792
18202,02593588
19059,07208489
7378,01071904
9025,07140891
7379,08773012
16767,04524355
7380,03250709
9555,02946689
28081,SC342922
27055,06096278
9238,06297061
18897,04486293
8766,00084170
21334,02338274
24931,03057688
7385,01461516
7384,02090005
9379,07742256
9995,OC338685
18695,06191086
27177,10279606
18928,03672650
17996,01168470
28330,01125740
25610,06026637
16987,02697046
24381,02565379
8852,02841234
18964,05975402
26018,01102060
22563,02586308
10824,09631707
21088,00431173
8556,OC300001
8557,08333916
19061,02529939
7389,04611637
24953,03822878
21186,02612105
7392,01288342
7393,07071400
24232,09752439
8558,05444653
18453,00207426
18458,00026538
17425,01589650
8999,07071305
18755,07064312
24536,03885534
27266,08492776
9554,02717522
28092,02163844
22585,07062101
24714,SC149291
19062,SC454431
16988,NF004139
7395,04840874
22421,02878879
10943,02680212
17492,08654028
19063,02519424
7396,06353434
16989,02573100
27406,01153003
7397,04246195
8971,00954730
8560,01040587
22099,03029834
26362,03640289
21529,07012425
9141,00875561
10537,01704440
18698,00548932
9888,05575857
21368,08492819
17190,02462001
28650,02884116
18309,11577650
17191,02890352
10488,04566809
27731,01458897
7399,OC304065
24395,02300692
25299,07329930
7400,00036624
16792,05850869
16924,00052201
7401,02882442
21406,05848642
7402,00874977
8561,10179149
18073,07784342
17423,NI016912
17537,02937460
21169,04450846
17646,02154833
7403,09807241
10785,04193835
7405,01511931
8718,07737802
23467,SC070429
16846,01872622
9203,03225310
17424,00653331
9660,02114287
18574,09878791
23011,04040804
17194,01577018
17195,04499567
9880,04348488
16991,01808624
17327,08604811
18470,08053154
10060,02692139
18455,00867162
18456,00843314
18457,02517230
17817,03898950
18286,01164901
22464,00282893
16706,00693397
7416,07168270
21292,00149328
9680,00706445
26504,03813981
9798,01611077
9046,01341153
7408,06823442
8562,04425339
10838,04081726
26955,02081194
23019,02400530
25519,02208249
18154,01682486
21694,OC308897
10369,SC030186
23018,SC076613
16898,04157398
7410,OC323570
17426,07751778
17538,03656438
16779,03491808
7412,06148029
18562,04171179
25458,05095976
10716,01639747
10182,04459383
16993,02739931
17608,02902416
17647,00772784
22249,09647432
22574,04761511
10731,07078823
17924,00163992
